CODE_UIC;LIBELLE_GARE;FRET;VOYAGEURS;CODE_LIGNE;RANG;PK;COMMUNE;DEPARTEMENT;IDRESEAU;IDGAIA;X (lambert93);Y (lambert93);X (WGS84);Y (WGS84);coordonnees_geographiques
87381715;Mareil-sur-Mauldre;N;O;396000;1;42+382;Mareil-sur-Mauldre;Yvelines;30000005359;e1b2762a-19bf-11e5-a6ff-01fc64e0362d;617263.3342999965;6866553.629700001;1.8715528437305458;48.8936706358685;48.8936706358, 1.87155284373
87382267;Vaucresson;N;O;974000;1;19+432;Vaucresson;Hauts-de-Seine;30000007111;e1364d6c-19bf-11e5-a6ff-01fc64e0362d;637790.1415000036;6859966.1884;2.152457655505388;48.836743107448;48.8367431074, 2.15245765551
87381855;Argenteuil GC;O;N;990000;2;41+451;Argenteuil;Val-d'Oise;30000002926;e5449448-6667-11e3-a7ff-01f464e0362d;645679.9878999963;6872340.608899999;2.258358162393432;48.948733563610475;48.9487335636, 2.25835816239
87381822;Thun-le-Paradis;N;O;334000;1;40+801;Meulan;Yvelines;30000006988;e130a38a-19bf-11e5-a6ff-01fc64e0362d;620998.6843999997;6879081.4793;1.920156337778501;49.00678520012826;49.0067852001, 1.92015633778
87382382;Puteaux;N;O;973000;1;9+491;Puteaux;Hauts-de-Seine;30000006169;e03e1528-19bf-11e5-82ff-01fc64e0362d;643811.6018000022;6865105.830600001;2.2338087295045663;48.88351576455218;48.8835157645, 2.2338087295
87381731;Nézel-Aulnay;N;O;396000;1;47+968;Nézel;Yvelines;30000005782;c0cf52be-f312-11e3-90ff-015864e0362d;615062.5557999983;6871594.137200002;1.8405312303792765;48.93870704903866;48.938707049, 1.84053123038
87381848;Argenteuil;N;O;334000;1;9+971;Argenteuil;Val-d'Oise;30000002925;d94c8314-6667-11e3-89ff-01f464e0362d;645615.7312999964;6872165.601399999;2.2575033734033787;48.9471544554575;48.9471544554, 2.2575033734
87381624;Bréval;N;O;366000;1;70+875;Bréval;Yvelines;30000003391;c11227ce-f312-11e3-90ff-015864e0362d;593191.4267999977;6872478.033300001;1.5418097324660454;48.94339458515851;48.9433945851, 1.54180973247
87485359;Prissé-la-Charrière;N;O;500000;1;437+617;Prissé-la-Charrière;Deux-Sèvres;30000006159;d9a5326a-6667-11e3-89ff-01f464e0362d;430466.01150000095;6567402.553199999;-0.4935033775066854;46.15277067967188;46.1527706797, -0.493503377507
87485052;Andilly-St-Ouen;N;N;530000;1;163+535;St-Ouen-d'Aunis;Charente-Maritime;30000002882;e54c4660-6667-11e3-a7ff-01f464e0362d;388484.5225000009;6579804.7272000015;-1.0449785929092106;46.24628499621826;46.2462849962, -1.04497859291
87485284;Frontenay-Rohan;N;N;538000;1;82+807;Frontenay-Rohan-Rohan;Deux-Sèvres;30000072519;e54ef7f8-6667-11e3-a7ff-01f464e0362d;427668.6216999963;6579313.960700002;-0.5366231539671205;46.258803634018;46.258803634, -0.536623153967
87485144;Rochefort;O;O;530000;1;208+240;Rochefort;Charente-Maritime;30000006272;e184905c-19bf-11e5-a6ff-01fc64e0362d;393085.4143999964;6546344.431899998;-0.9635480620250481;45.94746632056426;45.9474663205, -0.963548062025
87484808;Chaze-Henry;N;N;462000;1;355+680;Chazé-Henry;Maine-et-Loire;30000081137;e54e8970-6667-11e3-a7ff-01f464e0362d;396539.56319999695;6754629.8662;-1.0571034605046064;47.821884807183096;47.8218848072, -1.0571034605
87485029;Rompsay;N;N;530000;1;175+707;Périgny;Charente-Maritime;30000006291;e5526b30-6667-11e3-a7ff-01f464e0362d;383131.87359999865;6571245.001600001;-1.1085794202530725;46.16682142011515;46.1668214201, -1.10857942025
